glyph_name,ps_name,sort_final,sort_design,USV
ca.base,uni0C9A.base,335,660,
ca.sub,uni0C9A.sub,336,754,
ca_aamatra,uni0C9A0CBE,337,459,0C9A_0CBE
ca_imatra,uni0C9A0CBF,338,496,0C9A_0CBF
ca_ematra,uni0C9A0CC6,339,538,0C9A_0CC6
ca_aumatra,uni0C9A0CCC,340,579,0C9A_0CCC
ca_virama,uni0C9A0CCD,341,617,0C9A_0CCD
cha,uni0C9B,342,254,0C9B
cha.base,uni0C9B.base,343,661,
cha.sub,uni0C9B.sub,344,755,
cha_aamatra,uni0C9B0CBE,345,460,0C9B_0CBE
cha_imatra,uni0C9B0CBF,346,497,0C9B_0CBF
cha_ematra,uni0C9B0CC6,347,539,0C9B_0CC6
cha_aumatra,uni0C9B0CCC,348,580,0C9B_0CCC
cha_virama,uni0C9B0CCD,349,618,0C9B_0CCD
ja,uni0C9C,350,255,0C9C
ja.base,uni0C9C.base,351,662,
ja.sub,uni0C9C.sub,352,756,
ja_nya,uni0C9C0C9E,353,447,0C9C_0C9E
ja_nya.base,uni0C9C0C9E.base,354,448,
ja_nya_aamatra,uni0C9C0C9E0CBE,355,461,0C9C_0C9E_0CBE
ja_nya_imatra,uni0C9C0C9E0CBF,356,498,0C9C_0C9E_0CBF
ja_nya_ematra,uni0C9C0C9E0CC6,357,540,0C9C_0C9E_0CC6
ja_nya_aumatra,uni0C9C0C9E0CCC,358,581,0C9C_0C9E_0CCC
ja_nya_virama,uni0C9C0C9E0CCD,359,619,0C9C_0C9E_0CCD
ja_aamatra,uni0C9C0CBE,360,462,0C9C_0CBE
ja_imatra,uni0C9C0CBF,361,499,0C9C_0CBF
ja_ematra,uni0C9C0CC6,362,541,0C9C_0CC6
ja_aumatra,uni0C9C0CCC,363,582,0C9C_0CCC
ja_virama,uni0C9C0CCD,364,620,0C9C_0CCD
jha,uni0C9D,365,256,0C9D
jha.base,uni0C9D.base,366,663,
jha.noEbase,uni0C9D.noEbase,367,737,
jha.part,uni0C9D.part,368,744,
jha.regbase,uni0C9D.regbase,369,746,
jha.sub,uni0C9D.sub,370,757,
jha_aamatra,uni0C9D0CBE,371,463,0C9D_0CBE
jha_imatra,uni0C9D0CBF,372,500,0C9D_0CBF
jha_ematra,uni0C9D0CC6,373,542,0C9D_0CC6
jha_ematra.Obase,uni0C9D0CC6.Obase,374,543,
jha_aumatra,uni0C9D0CCC,375,583,0C9D_0CCC
jha_virama,uni0C9D0CCD,376,621,0C9D_0CCD
nya,uni0C9E,377,257,0C9E
nya.sub,uni0C9E.sub,378,758,
nya_aamatra,uni0C9E0CBE,379,464,0C9E_0CBE
nya_umatra,uni0C9E0CC1,380,528,0C9E_0CC1
nya_ematra,uni0C9E0CC6,381,544,0C9E_0CC6
nya_aumatra,uni0C9E0CCC,382,584,0C9E_0CCC
nya_virama,uni0C9E0CCD,383,622,0C9E_0CCD
tta,uni0C9F,384,258,0C9F
tta.base,uni0C9F.base,385,664,
tta.sub,uni0C9F.sub,386,759,
tta_aamatra,uni0C9F0CBE,387,465,0C9F_0CBE
tta_imatra,uni0C9F0CBF,388,501,0C9F_0CBF
tta_ematra,uni0C9F0CC6,389,545,0C9F_0CC6
tta_aumatra,uni0C9F0CCC,390,585,0C9F_0CCC
tta_virama,uni0C9F0CCD,391,623,0C9F_0CCD
ttha,uni0CA0,392,259,0CA0
ttha.base,uni0CA0.base,393,665,
ttha.sub,uni0CA0.sub,394,760,
ttha_aamatra,uni0CA00CBE,395,466,0CA0_0CBE
ttha_imatra,uni0CA00CBF,396,502,0CA0_0CBF
ttha_ematra,uni0CA00CC6,397,546,0CA0_0CC6
ttha_aumatra,uni0CA00CCC,398,586,0CA0_0CCC
ttha_virama,uni0CA00CCD,399,624,0CA0_0CCD
dda,uni0CA1,400,260,0CA1
dda.base,uni0CA1.base,401,666,
dda.sub,uni0CA1.sub,402,761,
dda_aamatra,uni0CA10CBE,403,467,0CA1_0CBE
dda_imatra,uni0CA10CBF,404,503,0CA1_0CBF
dda_ematra,uni0CA10CC6,405,547,0CA1_0CC6
dda_aumatra,uni0CA10CCC,406,587,0CA1_0CCC
dda_virama,uni0CA10CCD,407,625,0CA1_0CCD
ddha,uni0CA2,408,261,0CA2
ddha.base,uni0CA2.base,409,667,
ddha.sub,uni0CA2.sub,410,762,
ddha_aamatra,uni0CA20CBE,411,468,0CA2_0CBE
ddha_imatra,uni0CA20CBF,412,504,0CA2_0CBF
ddha_ematra,uni0CA20CC6,413,548,0CA2_0CC6
ddha_aumatra,uni0CA20CCC,414,588,0CA2_0CCC
ddha_virama,uni0CA20CCD,415,626,0CA2_0CCD
nna,uni0CA3,416,262,0CA3
nna.base,uni0CA3.base,417,668,
nna.sub,uni0CA3.sub,418,763,
nna_aamatra,uni0CA30CBE,419,469,0CA3_0CBE
