glyph_name,ps_name,sort_final,sort_design,USV
nna_ematra,uni0CA30CC6,412,544,0CA3_0CC6
nna_aumatra,uni0CA30CCC,413,584,0CA3_0CCC
nna_virama,uni0CA30CCD,414,622,0CA3_0CCD
ta,uni0CA4,415,263,0CA4
ta.base,uni0CA4.base,416,664,
ta.sub,uni0CA4.sub,417,752,
ta_ya.below,uni0CA40CAF.below,418,444,
ta_va.below,uni0CA40CB5.below,419,445,
ta_aamatra,uni0CA40CBE,420,465,0CA4_0CBE
ta_imatra,uni0CA40CBF,421,501,0CA4_0CBF
ta_rvocalicmatra.below,uni0CA40CC3.below,422,526,
ta_ematra,uni0CA40CC6,423,545,0CA4_0CC6
ta_aumatra,uni0CA40CCC,424,585,0CA4_0CCC
ta_virama,uni0CA40CCD,425,623,0CA4_0CCD
ta_ailengthmark.below,uni0CA40CD6.below,426,644,
tha,uni0CA5,427,264,0CA5
tha.base,uni0CA5.base,428,665,
tha.sub,uni0CA5.sub,429,753,
tha_aamatra,uni0CA50CBE,430,466,0CA5_0CBE
tha_imatra,uni0CA50CBF,431,502,0CA5_0CBF
tha_ematra,uni0CA50CC6,432,546,0CA5_0CC6
tha_aumatra,uni0CA50CCC,433,586,0CA5_0CCC
tha_virama,uni0CA50CCD,434,624,0CA5_0CCD
da,uni0CA6,435,265,0CA6
da.base,uni0CA6.base,436,666,
da.sub,uni0CA6.sub,437,754,
da_aamatra,uni0CA60CBE,438,467,0CA6_0CBE
da_imatra,uni0CA60CBF,439,503,0CA6_0CBF
da_ematra,uni0CA60CC6,440,547,0CA6_0CC6
da_aumatra,uni0CA60CCC,441,587,0CA6_0CCC
da_virama,uni0CA60CCD,442,625,0CA6_0CCD
dha,uni0CA7,443,266,0CA7
dha.base,uni0CA7.base,444,667,
dha.sub,uni0CA7.sub,445,755,
dha_aamatra,uni0CA70CBE,446,468,0CA7_0CBE
dha_imatra,uni0CA70CBF,447,504,0CA7_0CBF
dha_ematra,uni0CA70CC6,448,548,0CA7_0CC6
dha_aumatra,uni0CA70CCC,449,588,0CA7_0CCC
dha_virama,uni0CA70CCD,450,626,0CA7_0CCD
na,uni0CA8,451,267,0CA8
na.base,uni0CA8.base,452,668,
na.sub,uni0CA8.sub,453,756,
na_aamatra,uni0CA80CBE,454,469,0CA8_0CBE
na_imatra,uni0CA80CBF,455,505,0CA8_0CBF
na_ematra,uni0CA80CC6,456,549,0CA8_0CC6
na_aumatra,uni0CA80CCC,457,589,0CA8_0CCC
na_virama,uni0CA80CCD,458,627,0CA8_0CCD
pa,uni0CAA,459,268,0CAA
pa.base,uni0CAA.base,460,669,
pa.sub,uni0CAA.sub,461,757,
pa_aamatra,uni0CAA0CBE,462,470,0CAA_0CBE
pa_imatra,uni0CAA0CBF,463,506,0CAA_0CBF
pa_ematra,uni0CAA0CC6,464,550,0CAA_0CC6
pa_aumatra,uni0CAA0CCC,465,590,0CAA_0CCC
pa_virama,uni0CAA0CCD,466,628,0CAA_0CCD
pha,uni0CAB,467,269,0CAB
pha.base,uni0CAB.base,468,670,
pha.sub,uni0CAB.sub,469,758,
pha_aamatra,uni0CAB0CBE,470,471,0CAB_0CBE
pha_imatra,uni0CAB0CBF,471,507,0CAB_0CBF
pha_ematra,uni0CAB0CC6,472,551,0CAB_0CC6
pha_aumatra,uni0CAB0CCC,473,591,0CAB_0CCC
pha_virama,uni0CAB0CCD,474,629,0CAB_0CCD
ba,uni0CAC,475,270,0CAC
ba.base,uni0CAC.base,476,671,
ba.sub,uni0CAC.sub,477,759,
ba_aamatra,uni0CAC0CBE,478,472,0CAC_0CBE
ba_imatra,uni0CAC0CBF,479,508,0CAC_0CBF
ba_ematra,uni0CAC0CC6,480,552,0CAC_0CC6
ba_aumatra,uni0CAC0CCC,481,592,0CAC_0CCC
ba_virama,uni0CAC0CCD,482,630,0CAC_0CCD
bha,uni0CAD,483,271,0CAD
bha.base,uni0CAD.base,484,672,
bha.sub,uni0CAD.sub,485,760,
bha_aamatra,uni0CAD0CBE,486,473,0CAD_0CBE
bha_imatra,uni0CAD0CBF,487,509,0CAD_0CBF
bha_ematra,uni0CAD0CC6,488,553,0CAD_0CC6
bha_aumatra,uni0CAD0CCC,489,593,0CAD_0CCC
bha_virama,uni0CAD0CCD,490,631,0CAD_0CCD
ma,uni0CAE,491,272,0CAE
ma.base,uni0CAE.base,492,673,
ma.noEbase,uni0CAE.noEbase,493,728,
ma.regbase,uni0CAE.regbase,494,735,
ma.sub,uni0CAE.sub,495,761,
ma_aamatra,uni0CAE0CBE,496,474,0CAE_0CBE
ma_imatra,uni0CAE0CBF,497,510,0CAE_0CBF
ma_ematra,uni0CAE0CC6,498,554,0CAE_0CC6
ma_ematra.Obase,uni0CAE0CC6.Obase,499,555,
ma_aumatra,uni0CAE0CCC,500,594,0CAE_0CCC
ma_virama,uni0CAE0CCD,501,632,0CAE_0CCD
ya,uni0CAF,502,273,0CAF
ya.base,uni0CAF.base,503,674,
ya.noEbase,uni0CAF.noEbase,504,729,
ya.part,uni0CAF.part,505,733,
ya.regbase,uni0CAF.regbase,506,736,
ya.sub,uni0CAF.sub,507,762,
